siteCode,CHELSA_vpd_01_1981-2010_V.2.1,CHELSA_vpd_02_1981-2010_V.2.1,CHELSA_vpd_03_1981-2010_V.2.1,CHELSA_vpd_04_1981-2010_V.2.1,CHELSA_vpd_05_1981-2010_V.2.1,CHELSA_vpd_06_1981-2010_V.2.1,CHELSA_vpd_07_1981-2010_V.2.1,CHELSA_vpd_08_1981-2010_V.2.1,CHELSA_vpd_09_1981-2010_V.2.1,CHELSA_vpd_10_1981-2010_V.2.1,CHELSA_vpd_11_1981-2010_V.2.1,CHELSA_vpd_12_1981-2010_V.2.1
ABBY,270.2,312.5,363.6,428.7,547.1,651.6,850.9,884.4,728.9,487.6,314.8,258.7
ARIK,271.7,301,430.1,608.6,838.3,1184.6,1461.9,1336.8,1035.3,649,394.5,266.7
BART,112.1,142.3,217.9,380.8,607.1,798.7,923.1,852,622.6,398.4,255.9,146.5
BLWA,455.5,539.6,724.7,946,1216.2,1457.4,1489.1,1492.9,1333.3,952.6,670.7,488
BLDE,134.9,161.8,232.9,312.1,423,626.8,888.9,856.1,592.8,341.7,178.5,120.2
BLAN,286.8,325.4,447.5,663.6,859.2,1179.2,1356.8,1267.8,964,647.5,460.9,320.6
BLUE,387.1,463.7,628.8,852.2,1042.2,1355.2,1677.5,1723.2,1297.1,888.3,587.5,405.4
CARI,46.4,59.6,97.5,249.9,552.1,797.7,807.7,605.3,380.6,158.1,64.1,50.9
BONA,46.4,59.6,97.5,249.9,552.1,797.7,807.7,605.3,380.6,158.1,64.1,50.9
CPER,271.3,296.6,398.4,544,747.5,1061.6,1386.6,1252.2,929.7,580.2,362.8,261.8
WOOD,78,101.1,184.7,404.2,644.3,844.3,1010.3,970.1,684.9,407.4,193.5,98.7
COMO,142.8,148.6,197.3,256.6,380.3,603.1,760.8,679.9,515.3,328,196,135.2
CRAM,90.8,119.6,196.4,373.2,601.8,770.3,878.8,794.2,582.8,363.7,205.4,110.6
DCFS,80.9,103.7,187.4,406.1,649.2,853.2,1014.2,973.9,688.1,410.9,196.6,101.5
DELA,455.6,539.4,724.3,945.1,1214.8,1455.6,1488.3,1492.6,1332.4,952.4,671,488.3
DEJU,72.3,89.6,133.6,283.8,524.4,751.4,789.1,628.9,399.1,178.4,91.5,79.9
DSNY,738.2,816.8,960.6,1138.6,1343,1343.5,1331.9,1304.5,1244.2,1147.2,954.3,785.9
FLNT,515.7,602.9,774.6,997.1,1290,1410.5,1428.2,1377.3,1315.7,1011.3,741.1,551.1
GRSM,303,355.5,487.7,669.4,812.8,1003.8,1083.7,1042.4,875.3,637.8,458.5,328.1
GUAN,1161,1167.9,1171,1151.3,1143.5,1230,1298.3,1266.8,1186.5,1117.8,1145.8,1174.6
HARV,172.6,202.8,285,452.1,652.9,874.9,1053.1,974.6,721.4,477.2,327.7,215.6
HEAL,53.7,67.3,98.4,214.8,421.9,635.5,659,519.3,336,144.2,70.1,59.1
JORN,518.5,658.5,888.6,1263.9,1757.6,2259.6,1992.2,1757.8,1545.6,1118.6,731.4,504.6
UKFS,236.4,288.2,440.4,667.9,898.8,1213.1,1436.4,1386.7,1032.2,683.1,418.1,255.8
KING,235.7,285.4,444.9,685.3,922.8,1251.3,1529,1449.7,1084.9,707,419.3,251.3
KONA,236.6,286.7,447.2,689.2,928.4,1260.2,1540.2,1458.4,1092.1,710.4,420.3,252.1
KONZ,234.8,282.5,438.2,672.2,904.7,1226.5,1493.9,1418.7,1064.5,696.5,414.7,249.8
LAJA,1294.4,1289.5,1279.8,1270,1272,1374.8,1441.7,1409.4,1328.3,1260.1,1303.1,1317.7
BARC,608.9,676.5,813.9,999.8,1222.1,1253.3,1282.5,1215.4,1149.9,1002.5,808.1,644.8
SUGG,607.8,675.4,812.9,999.6,1223.9,1253.2,1282.7,1215.7,1150.2,1002.6,807.3,644
LECO,303,355.5,487.7,669.4,812.8,1003.8,1083.7,1042.4,875.3,637.8,458.5,328.1
LENO,487.4,575,746.3,945.1,1195,1411.4,1444.1,1441.8,1329.2,985.6,704.8,520.8
LEWI,286.4,324.9,447.1,663.2,861,1186.1,1367,1276.8,970.5,648.6,459.8,320.1
LIRO,91.9,122.7,203.6,387.9,628.4,801.1,903.3,812.6,595.7,372.5,209.6,110.1
HOPB,185.4,217.2,304.5,476.9,681.3,920.2,1110.6,1030.7,757.5,501.9,347.9,232
TEAK,265.6,258.1,281.1,342,494,754.5,1014.8,996.7,779,535.6,355.5,269.3
TOMB,487.4,575,746.3,945.1,1195,1411.4,1444.1,1441.8,1329.2,985.6,704.8,520.8
CLBJ,434,512,688.6,944.6,1164.9,1497.4,1842.1,1886.7,1401.3,970.4,646.8,447.4
MART,194,236.9,316.6,409.8,563.6,694.2,921.4,947.6,739.8,447,243.9,181.3
OAES,339.2,408.9,569.8,817.9,1052.3,1426.6,1823.1,1754.2,1276.8,834.3,528.7,347.3
MAYF,434.8,516.3,694.8,890.6,1129.1,1362,1402.4,1408.2,1245.5,904.6,641.3,466.1
MCDI,235,282.7,434.7,665.3,880.3,1181.6,1446.2,1385.4,1036,682.8,410.4,250.2
MCRA,236.9,259.1,292.8,342,475.2,613.6,894.6,918.2,718.1,458,269.7,225.7
MOAB,222.3,289.4,440.5,675.6,1061,1617.1,1833.3,1563.5,1166.1,714.2,395.3,239
MLBS,212.6,236.8,322.7,467.4,565.1,711.9,786.4,759.9,606.8,452.7,345,246.4
NIWO,110.3,113.7,151.8,202.4,315.8,549.3,726.7,639.7,459.5,273.2,155.4,104.1
STER,249.1,283.3,401,565.9,778.4,1108.3,1411.7,1264.7,964,590.9,358.8,243.2
NOGP,105.4,135,222.5,435.5,683.1,914.5,1158.2,1112.1,762.5,448,220.4,124.1
ORNL,329.8,389.7,538.4,735,914.9,1154.9,1218.3,1200.1,1015.7,726.4,508.6,356.1
OKSR,33.7,38,44.5,91.6,209.5,418.5,517.6,369.6,207.6,79.8,45.2,39.3
ONAQ,202.9,246.3,392.4,576.9,870.7,1390.9,1958,1785.6,1175.8,671.5,361.2,214.7
OSBS,607.8,675.6,812,998.2,1221,1251.8,1281.2,1213.5,1148.3,1001.1,806.7,644
POSE,279.3,316.4,435.1,645.5,828.6,1122.6,1276,1191.1,914.4,630.9,451.9,313.5
PRLA,81,103.9,187.6,406.1,649.1,853.1,1014.4,974.1,688.3,411.2,196.7,101.7
PRPO,77.7,100.5,183.8,402.5,641.1,839.6,1006.6,967.2,681.9,405.2,192.6,98
PRIN,439.2,517.8,696.9,956.8,1180,1521.8,1873.7,1910.1,1414.5,978.4,652.8,451.4
PUUM,533.5,507.8,488.3,489.5,548.3,634.5,649.7,652.2,600.4,585.5,555.1,534.8
REDB,188.4,224.3,326,441,659.1,1068.8,1552,1461.7,955.3,543.6,285.9,187
CUPE,1195.4,1198.5,1209.6,1195,1178.2,1292.3,1392.2,1355.3,1240.1,1159.6,1184.7,1197.6
GUIL,853.1,878.3,918.5,906.8,905.6,986.1,1024.1,1013.5,954,885.6,827.1,836.8
RMNP,149.2,158.3,211.1,274.8,396.4,601.3,734.3,653.2,512.8,338.7,204.7,141.4
SJER,442.1,498.4,584.5,763,1089.6,1512,1970.5,1906.5,1542.6,1020.1,622.3,457
SRER,634.2,729.4,952.2,1346.3,1900.8,2512.9,2106.5,1806,1787.1,1349.8,903.7,619.5
SCBI,277.2,313.5,429.4,637.1,820.8,1107.7,1257.9,1174.8,903,626,449.6,312.6
SERC,310.9,341.6,449.9,650.2,864.3,1162.6,1364.2,1270.3,1039.1,735.7,523.6,364.1
SOAP,365.4,376.4,415.2,533.5,778.8,1147.4,1540.4,1513,1190.6,779.4,499.5,375.4
STEI,100.2,132.5,228.4,440.9,662.2,840.9,948.5,847.2,629.1,399.7,227.4,119
SYCA,566.5,665.6,868.6,1288.6,1957.6,2774.6,2692.3,2358,2019.3,1342.9,837.3,554.6
TALL,435,515.9,692.7,888.3,1126.2,1358,1395.3,1402.5,1240.2,902.3,640,465.8
TECR,271.9,265.9,289.6,352.2,508.2,771.1,1045.1,1029.1,800,545.4,363.8,276.2
JERC,515.3,602.4,774.6,996.8,1287.8,1408.9,1426.8,1377.7,1314.6,1010.2,740.8,551.1
TOOL,34.3,38.7,45,91.4,207.4,407.4,510.1,365.4,207.2,81,46.3,40.1
TOOK,32.5,37.3,43.7,90.3,208.6,418.5,526.8,375.4,209.7,79.3,44.6,38.1
TREE,100.6,133,229.9,444.3,666.2,846,954,852.4,633.4,402.4,228.9,119.7
UNDE,91.1,119.7,196.5,374.1,603.3,772,880.9,797.1,585,365.4,205.7,111
BIGC,360.1,370.5,409.2,524.7,766.1,1131.5,1517.6,1491.7,1170.8,770.3,494.4,370.3
BARR,7.7,11.7,12.3,45.1,117.5,201,228.7,226.9,195.6,118.3,42.5,17.9
WALK,331.4,392.4,543.7,742.8,924.8,1169.5,1235.4,1215.1,1026.5,731.8,511.2,357
WLOU,114.5,130.8,182.9,246.2,356.3,571.4,718.5,650.1,497.4,306.5,161,106.6
WREF,204.4,248.9,333.7,432,589.2,719.1,947.2,973.3,764.7,467.3,259.2,191.8
YELL,128.7,155.1,223.7,299.6,404.8,600.2,859.7,827.3,569.5,327.6,171.2,115.1